community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_S_e	0.0	0.99	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00001_e	0.0	0.32	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00002_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00003_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00004_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00005_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00006_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00007_e	0.0	0.34	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00008_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00009_e	0.0	0.93	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00010_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00011_e	0.0	0.41	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00012_e	0.0	0.07	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00013_e	0.0	0.65	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00014_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00015_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00016_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00017_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00018_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00019_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00020_e	0.0	0.23	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00022_e	0.0	0.0	0	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00023_e	0.0	0.03	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00024_e	0.0	0.0	1	0.0
all	9K	AC_new_final_nogene	Sulfobacillus_thermotolerans_hq2	M_cpd00025_e	0.0	0.0	0	0.0
